Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Yes,Store: Consent
1,1732029190947,19/11/2024 15:13:10,1732011190947,-5,19/11/2024 05:13:10,196386,5,questionnaire-f8mc,,41461427,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,Headphone Check Pass,,0,Consent_Form_UNC,5,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732029194917,19/11/2024 15:13:14,1732011194917,-5,19/11/2024 05:13:14,196386,5,questionnaire-f8mc,,41461427,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,Headphone Check Pass,,0,Consent_Form_UNC,5,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732029194917,19/11/2024 15:13:14,1732011194917,-5,19/11/2024 05:13:14,196386,5,questionnaire-f8mc,,41461427,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,Headphone Check Pass,,0,Consent_Form_UNC,5,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732029194917,19/11/2024 15:13:14,1732011194917,-5,19/11/2024 05:13:14,196386,5,questionnaire-f8mc,,41461427,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,Headphone Check Pass,,0,Consent_Form_UNC,5,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,3915,,,,,,
1,1732029287525,19/11/2024 15:14:47,1732011287525,-5,19/11/2024 05:14:47,196386,5,questionnaire-f8mc,,41461477,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,0,Consent_Form_UNC,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732029333271,19/11/2024 15:15:33,1732011333271,-5,19/11/2024 05:15:33,196386,5,questionnaire-f8mc,,41461477,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,0,Consent_Form_UNC,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732029333271,19/11/2024 15:15:33,1732011333271,-5,19/11/2024 05:15:33,196386,5,questionnaire-f8mc,,41461477,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,0,Consent_Form_UNC,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732029333272,19/11/2024 15:15:33,1732011333272,-5,19/11/2024 05:15:33,196386,5,questionnaire-f8mc,,41461477,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,0,Consent_Form_UNC,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,45693,,,,,,
1,1732029304035,19/11/2024 15:15:04,1732011304035,-5,19/11/2024 05:15:04,196386,5,questionnaire-f8mc,,41461486,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,Consent_Form_UNC,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732029330423,19/11/2024 15:15:30,1732011330423,-5,19/11/2024 05:15:30,196386,5,questionnaire-f8mc,,41461486,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x820,Headphone Check Pass,,0,Consent_Form_UNC,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
