Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733331399735,04/12/2024 16:56:39,1733313399735,-5,04/12/2024 06:56:39,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,
2,1733331479486,04/12/2024 16:57:59,1733313479486,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,value,No,,Yes|No,Multiple Choice,1,object-3
3,1733331479486,04/12/2024 16:57:59,1733313479486,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,quantised,2,,Yes|No,Multiple Choice,1,object-3
4,1733331479486,04/12/2024 16:57:59,1733313479486,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,value,No,,Yes|No,Multiple Choice,2,object-4
5,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,quantised,2,,Yes|No,Multiple Choice,2,object-4
6,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"If yes, please list below:",response,value,N/A,,,Comment Box,3,object-5
7,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Eye Glasses,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
8,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Contacts,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
9,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Makeup,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
10,1733331479487,04/12/2024 16:57:59,1733313479487,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Strip or individual eyelashes,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
11,1733331479488,04/12/2024 16:57:59,1733313479488,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Hat,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
12,1733331479488,04/12/2024 16:57:59,1733313479488,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,__other,1,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
13,1733331479488,04/12/2024 16:57:59,1733313479488,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,other,Regular eyesight,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
14,1733331479494,04/12/2024 16:57:59,1733313479494,-5,04/12/2024 06:57:59,196386,6,questionnaire-7ac3,,41802992,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,4.	Does your room currently have natural light?,response,value,Yes,,Yes|No,Multiple Choice,5,object-7
