Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Randomise questionnaire elements?,Question Key,Response
1,1732030191675,19/11/2024 15:29:51,1732030190963,-5,19/11/2024 10:29:50,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1732030248522,19/11/2024 15:30:48,1732030247829,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,29
3,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Male
4,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,1
5,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,Midwestern
6,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-quantised,3
7,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-text,
8,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4,Not Hispanic or Latino
9,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4-quantised,2
10,1732030248697,19/11/2024 15:30:48,1732030247832,-5,19/11/2024 10:30:47,196386,5,questionnaire-w1i9,,41462068,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x815,Headphone Check Pass,,,Demographic Questionnaire,5,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-5-5,White
