Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Randomise questionnaire elements?,Question Key,Response
1,1733331484660,04/12/2024 16:58:04,1733331484555,-5,04/12/2024 11:58:04,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733331514956,04/12/2024 16:58:34,1733331514868,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-1,23
3,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-2,Female
4,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-2-quantised,2
5,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3,New England
6,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3-quantised,1
7,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3-text,
8,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-4,Not Hispanic or Latino
9,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-4-quantised,2
10,1733331515105,04/12/2024 16:58:35,1733331514869,-5,04/12/2024 11:58:34,196386,6,questionnaire-3956,,41803043,BLIND,12210934,,complete,,675081c82242713ea5e42dc2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1680x1050,1680x962,Headphone Check Pass,,,Demographic Questionnaire,5,CB22,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-5-4,Black or African American
