Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Randomise questionnaire elements?,Question Key,Response
1,1732031504378,19/11/2024 15:51:44,1732031504124,-5,19/11/2024 10:51:44,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1732031548971,19/11/2024 15:52:28,1732031548746,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-1,34
3,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-2,Female
4,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-2-quantised,2
5,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3,Southern
6,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3-quantised,2
7,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-3-text,
8,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-4,Hispanic or Latino
9,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-4-quantised,1
10,1732031549114,19/11/2024 15:52:29,1732031548747,-5,19/11/2024 10:52:28,196386,5,questionnaire-3956,,41462818,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,,Demographic Questionnaire,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,No,response-5-2,Asian
