"","Event Index","UTC Timestamp","UTC Date and Time","Local Timestamp","Local Timezone","Local Date and Time","Experiment ID","Experiment Version","Tree Node Key","Repeat Key","Schedule ID","Participant Public ID","Participant Private ID","Participant Starting Group","Participant Status","Participant Completion Code","Participant External Session ID","Participant Device Type","Participant Device","Participant OS","Participant Browser","Participant Monitor Size","Participant Viewport Size","Checkpoint","Room ID","Room Order","Task Name","Task Version","counterbalance-2nfr","branch-i39d","branch-gwtr","branch-9h9t","checkpoint-o7ee","checkpoint-6s7s","branch-ktz5","branch-hxbs","Page","Page ID","Page Counter","Question","Response Type","Key","Response","Tag","OptionOrder","Object Name","Object Number","Object ID"
"1","1",1732117415315,"20/11/2024 15:43:35",1732099415315,-5,"20/11/2024 05:43:35",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,NA,NA,NA,NA,"info",NA,"BEGIN",NA,NA,NA,NA,NA
"2","2",1732117598915,"20/11/2024 15:46:38",1732099598915,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?","response","value","No",NA,"Yes|No","Multiple Choice",1,"object-3"
"3","3",1732117598915,"20/11/2024 15:46:38",1732099598915,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?","response","quantised","2",NA,"Yes|No","Multiple Choice",1,"object-3"
"4","4",1732117598916,"20/11/2024 15:46:38",1732099598916,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"2.	Are you on any medications currently that can impair your judgement?","response","value","No",NA,"Yes|No","Multiple Choice",2,"object-4"
"5","5",1732117598916,"20/11/2024 15:46:38",1732099598916,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"2.	Are you on any medications currently that can impair your judgement?","response","quantised","2",NA,"Yes|No","Multiple Choice",2,"object-4"
"6","6",1732117598916,"20/11/2024 15:46:38",1732099598916,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"If yes, please list below:","response","value","N/A",NA,NA,"Comment Box",3,"object-5"
"7","7",1732117598917,"20/11/2024 15:46:38",1732099598917,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"3.	Please check if you currently wearing any of the following:","response","Eye Glasses","0",NA,"Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat","Multiple Choice",4,"object-6"
"8","8",1732117598917,"20/11/2024 15:46:38",1732099598917,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"3.	Please check if you currently wearing any of the following:","response","Contacts","0",NA,"Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat","Multiple Choice",4,"object-6"
"9","9",1732117598917,"20/11/2024 15:46:38",1732099598917,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"3.	Please check if you currently wearing any of the following:","response","Makeup","0",NA,"Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat","Multiple Choice",4,"object-6"
"10","10",1732117598918,"20/11/2024 15:46:38",1732099598918,-5,"20/11/2024 05:46:38",196386,5,"questionnaire-ng98",NA,41492369,"BLIND",12110579,NA,"complete",NA,"673dfb958094011a91333a44","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 131.0.0.0","1366x768","1366x633","Headphone Check Pass",NA,0,"ET_Questionnaire (Clone)",1,"CB24","Yes","Pass","Exit","Headphone Check Pass",NA,NA,NA,"Page 1","vvc35d",1,"3.	Please check if you currently wearing any of the following:","response","Strip or individual eyelashes","0",NA,"Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat","Multiple Choice",4,"object-6"
